,date,headline,description
14,"July 26, 2023, 22:56 IST",Terror Module Busted: PhD Scholar Among 3 Arrested in Kashmir for Brainwashing Youths,Police also arrested two alleged overground workers (OGWs) of Hizb-ul-Mujahideen and Jaish-e-Muhammad on his disclosure in the Kulgam district of south Kashmir
15,"July 26, 2023, 18:12 IST","NIA Nabs Gangster Bishnoi's Key Aide Deported by UAE, Was Wanted for Moose Wala Murder | Exclusive","Vikramjeet Singh (alias Vikram Brar) was allegedly involved in targeted killings of people, including businessmen, as well as smuggling of weapons and extortion in India with the help of dreaded gangsters Lawrence Bishnoi, Goldy Brar, and others"
16,"July 26, 2023, 15:08 IST",Monsoon Discontent: One-Third of India May Face A Dry Season Despite Excessive Rainfall in Northwest,"The late monsoon will not just shrink the growing time for the current paddy crop, but it will also lead to a rise in input costs, besides negatively impacting the quality of the crop. The delay will further push the Rabi crop cycle"
17,"July 26, 2023, 13:58 IST","Raped, Tortured & Alone, Women in Manipur Recount Horrors of Violence as List of FIRs Grows | Ground Report","News18 travelled to various relief camps where women narrated ordeals of losing family members, escaping mobs and living without basic amenities"
18,"July 26, 2023, 13:24 IST","Threat Calls to Karnataka Judges Made from Pakistan, But No Common Ground Found: Sources","The Karnataka Police investigation is underway but no common ground has been found for the basis of threat. Intelligence agencies have said the threat is not serious
"
19,"July 26, 2023, 03:56 IST","Bengaluru-Mysuru Expressway to Put Brakes on Two-wheelers, Autos from August 1, Bikers Miffed","Following a rash of accidents on the new expressway, the NHAI has banned bikes, autos, and tractors along with multi-axle hydraulic trailer vehicles, and quadricycles, which will have to take the service road"
20,"July 26, 2023, 01:48 IST","Global Security Hit by Uncertainty, Rising Tensions: Ajit Doval at 13th BRICS NSA Meet in Johannesburg","Terrorism remains a key threat to national peace and security while terror groups in the Af-Pak region continue to operate with impunity, said the national security adviser"
21,"July 25, 2023, 18:13 IST",Bihar's Brazen Liquor And Sand Smugglers Who Don't Even Spare Cops,A home guard jawan was killed in Motihari after an excise police team was attacked by liquor smugglers on Monday night. News18 takes a look at more such incidents that have been witnessed by the state in recent times
22,"July 25, 2023, 13:26 IST","Ask Them to Sign Consent Letter First, Suggests House Committee to Discourage 'Award-Wapsi'","Whenever an award is given, the consent of the recipient must be taken, so that he/she does not return it because of political reasons as it is disgraceful to the country, the Parliamentary Committee on Transport, Tourism and Culture has recommended in a report tabled in Parliament"
23,"July 25, 2023, 11:55 IST","Threat to Kill Karnataka HC Judges Could be a Hoax, No Common Thread in Demands: Sources | Exclusive","Police have filed an FIR based on a complaint by K Muralidhar, the press relations officer of the Karnataka High Court. In the complaint, Muralidhar said he had received WhatsApp messages from an international number demanding Rs 50 lakh to be paid into a Pakistan-based account."
24,"July 24, 2023, 20:58 IST","Bhagavad Gita in Oppenheimer Sex Scene: Unwarranted, Insult to Civilisation, Says Uday Mahurkar","“I welcome I&B Minister Anurag Thakur's prompt response and hope for equal promptness from Christopher Nolan [director of Oppenheimer]...he is certainly not unaware of it...,"" says Uday Mahurkar, founder of Save Culture Save India Foundation"
25,"July 24, 2023, 17:09 IST",Rajasthan: Pilot's ‘Supporter’ or a ‘Set-Up’? Who is Rajendra Gudha – Gehlot Govt’s Sacked Minister?,"Rajendra Singh Gudha and Ashok Gehlot have not always been enemies. The CM had induced six BSP MLAs, including Gudha in 2018-19. It was only when Gudha became the MoS of Sainik Kalyan and Panchayati Raj that the problems began"
26,"July 24, 2023, 10:36 IST","From Combat Management to Military-Grade Security, How WESEE Powers Navy’s Aatmanirbharta","WESEE has been playing a crucial role since 1978 in integrating a wide range of weapons and electronic systems into naval vessels, submarines, aircraft, and aircraft carriers, making it an indispensable backbone of the Navy"
27,"July 24, 2023, 09:00 IST",Let's Talk Law | The ASI Survey of Disputed Gyanvapi Mosque & What It Means for the Legal Battle,"The disputed presence of a ‘Shivling’ inside the Gyanvapi complex was a key turning point in the case. If the claims of the Hindu side are found to be true, which is the presence of Hindu idols or ‘Shivling’ inside the temple, then the case shall see a monumental shift"
28,"July 23, 2023, 10:12 IST","Removing Terror Links, Purging Corrupt Elements: J&K Govt’s Strong Message Post Repeal of Article 370","More than 50 individuals have been removed from their government positions as part of the ongoing process, with legal proceedings initiated against some of them
"
29,"July 22, 2023, 21:50 IST",Why the Chabahar Port Progress Has Failed to Keep Pace With India's Ambition,"Of the $85 million pledged by India Ports Global Limited, which operates the terminal, only $25 million has been spent to set up six cranes on the Shahid Behshti Terminal which is not in use yet"
30,"July 22, 2023, 14:55 IST",Judge Transferred to Calcutta HC Sought Suspension of Delhi Police Personnel Over Losing Pet Dog,"The letter written by Justice Gaurang Kanth alleged that the police personnel posted at his Delhi residence failed to “keep the door locked” despite instructions to the effect, which resulted in the judge losing his pet dog"
31,"July 22, 2023, 10:01 IST","'Realised Our Separate Identity Was A Curse': 4 Yrs Since Art 370 Scrapped, Kashmiris Cherish Winds of Change",The transformation is evident not only in the infrastructure but also in the atmosphere. What was unimaginable a few years ago --- a bustling Kashmir with activities thriving even late at night --- has now become a reality
32,"July 22, 2023, 09:52 IST",INDIA Effect? Mamata Skips Attack on Congress on Martyrs' Day But Bengal Unease May Hamper 'Unity',"As per political experts, there is unease at the local level about the Trinamool and Congress joining hands at the national level. Several workers of the Grand Old Party have been killed in panchayat elections and it is expected that the local leadership will continue trading barbs with TMC over the issue"
33,"July 22, 2023, 09:00 IST",Marathon Man Naveen Patnaik Surpasses Jyoti Basu's Record And Is Still Going Strong,"The Biju Janata Dal leader has now ruled Odisha for 23 years four months and 17 days, breaking Basu’s enviable record as the second-longest-serving chief minister of an Indian state. How did he get this far?"
34,"July 22, 2023, 08:00 IST",Manipur Horror Video: Here Are Past Rape Cases That Shook India And Its Politics,"From the Bhanwari Devi case to Nirbhaya, News18 has sifted through some of the most heinous crimes against women in recent times"
35,"July 21, 2023, 19:42 IST",Raigad Landslide: Boys Playing PUGB Raised First Alarm; Dangerous Trek to Ground Zero Hampering Rescue Ops,"The landslide has claimed 22 lives in Maharashtra's Irshalwadi village, which is accessible only by a 6-km trek through two hills from the base camp taking anywhere between 1-2 hours. A fireman reportedly died while trekking to reach the village for rescue operations"
36,"July 21, 2023, 15:50 IST","'If Video Had Not Gone Viral...' 'Shocked' Manipur Guv Seeks Peace Talks, Slams Police Inaction | Exclusive",Governor Anusuiya Uikey said the Centre has to decide on the chief minister's resignation but violence must stop in the state
37,"July 21, 2023, 13:50 IST",'Why No Follow-Up?' NCW Was Informed of Rape of Kuki Women 37 Days Before Video Went Viral,"The letter has raised two crucial questions --- First, if the NCW was aware of the crime since June 12 and had written about it to Manipur Chief Secretary and DGP, what suo moto cognizance was being taken on July 20? Second, did NCW make any attempt to reach out to the survivors whose location in security camp Churachandpur was mentioned in the complaint?"
38,"July 21, 2023, 13:36 IST","ISIS Terror Plot Revealed: Jharkhand AMU Student Formed Group of 10 for ‘Major Attack’, NIA Sources tell News18","Faizan Ansari has been under ISIS training for four years and was staying outside the Aligarh Muslim University (AMU), say NIA sources. He was planning violent actions and was contemplating ‘hijrat’ (shift) to a foreign-based ISIS conflict theatre"
39,"July 21, 2023, 12:12 IST",BJP MP Poonam Mahajan Seeks Amended Legislation on Prevention of Cruelty Against Animals,BJP MP Poonam Mahajan is seeking to bring a Private Members’ Bill in the Lok Sabha to replace penal provisions of the Prevention of Cruelty to Animals Act with increased penalty
40,"July 21, 2023, 10:24 IST","Don't Use Protocol Facilities to Claim Privilege, Says CJI After Allahabad HC Judge Seeks Railways Reply",CJI DY Chandrachud’s letter to chief justices of all high courts was prompted by a recent incident in which a judge of the Allahabad High Court called for an explanation from railway officials for allegedly not meeting his requirements during a train journey from Delhi to Prayagraj
41,"July 20, 2023, 19:07 IST","ISIS Crackdown in Jharkhand, UP: NIA Arrests 19-yr-old AMU Student for ‘Conspiracy to Carry Out Terror Acts’",The NIA said the accused conspired to support ISIS activities in India and disseminate its propaganda via social media. He was also involved in radicalising “neo-converts” to enhance cadre base
42,"July 20, 2023, 17:18 IST",Manipur Video: First Arrest Made But Here Are Key Questions That Remain Unanswered,"While the main accused was arrested on Thursday morning, police are still searching for the two victims to get their testimonies"
43,"July 20, 2023, 16:29 IST",Mumbai-Ahmedabad Bullet Train: Last Civil Package for 135km Awarded for Building Infra Between Thane & Boisar,"The package includes 36 bridges and crossings of which 12 are steel bridges and there will be six mountain tunnels. It will also include bridges on Ulhas River, Vaitarna and Jagani"
44,"July 20, 2023, 14:56 IST","Can't Decouple from China, But Diversification is of Highest Importance: German Economy Minister Habeck","Robert Habeck, who is in India to attend the G20 Energy Ministers’ meeting, highlighted the intricate nature of Germany’s relationship with China, acknowledging its position as Berlin’s largest trading partner, but stressed on the importance of de-risking and exploring new avenues for cooperation"
45,"July 20, 2023, 14:23 IST","'Nobody Cares, They Only Fight': Supreme Court on Delhi vs Centre Over DERC Chairman Row",AAP-led Delhi government had questioned the order of the Centre appointing former Allahabad High Court judge as DERC chairperson. It also challenged the controversial Delhi ordinance.
46,"July 20, 2023, 13:33 IST","Idea Behind INDIA, Panchayat Polls Violence & 2024 Battle: This Martyrs' Day, Mamata Eyes National Stage","Every year, the Mamata Banerjee-led party sets the tone for its cadre on this day which commemorates the deaths of 13 TMC workers who were killed in police firing while protesting against the Left government in 1993"
47,"July 20, 2023, 12:57 IST","Why Bajrang Punia, Vinesh Phogat Received Direct Entry Into Asian Games | Exclusive","The decision, which has raised a lot of eyebrows, seems unfair to the other players, some of whom have approached the Delhi High court
"
48,"July 20, 2023, 10:35 IST","Your Decision on Shinde, Chief Whip Was Illegal: Pro-Uddhav MLAs Reply to Speaker's Notice | Exclusive",The reply filed by the Uddhav Thackeray faction also challenges the Election Commission’s decision to award the party name and symbol to the Shinde faction
49,"July 20, 2023, 10:25 IST",The UPShot | Is Rajbhar's 'Ghar Wapsi' the Magic Ingredient in BJP's Victory Recipe for East UP Ahead of 2024?,"While some political analysts called Rajbhar’s return a major dent to the Opposition that is yet to come up with a fool-proof plan to combat BJP, other labelled it BJP’s deliberate move to gain seats in areas where it faced a tough fight in 2019 "
50,"July 20, 2023, 07:30 IST","BJP to Test Oppn's 'Idea of INDIA' in Parliament over Bengal Violence, Delhi Ordinance, Adani Row",The monsoon session of Parliament will begin on July 20 and go on till August 11
51,"July 19, 2023, 20:27 IST","Mission LoC-ate: 2 LeT Terrorists Killed, Infiltration Bid Foiled in Kashmir | Exclusive","“The group was trained by Sajid Jatt and can handle sophisticated weapons,” according to local sources. Four AK rifles, six hand grenades and ammunition have been recovered"
52,"July 19, 2023, 15:11 IST",Phulwari Sharif Case: Key PFI Operative Held in Bihar's East Champaran,"According to the police headquarters here, Yakoob Khan, alias Sultan, was nabbed in Uttar Govindara village in East Champaran district and handed over to the NIA"
53,"July 19, 2023, 14:16 IST","‘Chahe Ghar Becho, Bachche Becho…’: After Yamuna’s Wrath, Delhi’s Migrants Maroon in Debts, Uncertainty","News18 speaks to migrant farmers, labourers and cattle-owners, who had to leave behind their kachcha homes as soon as the Yamuna water levels hit the evacuation mark, in the rural plains in the heart of Delhi"
54,"July 19, 2023, 14:15 IST",Pakistan’s Seema Haider Quizzed for 12 Hours by UP ATS; Cops Trying to Corroborate Her Statements: Sources,"The ATS is extracting the minutest details from Haider who has constantly replied on the same lines and statements that she came to India only to meet her boyfriend, Sachin Meena
"
55,"July 19, 2023, 13:52 IST","Five Suspected Terrorists Arrested as ISIS Gang Busted in Karnataka, Were Planning ‘Major Attack’","Following their interrogation, four walkie-talkies, seven pistols, ammunition, two daggers and other incriminating material was recovered from Bengaluru"
56,"July 19, 2023, 01:07 IST","Oommen Chandy: A Rare Name, A Rarer Mass Leader",The Congress leader and two-time Kerala chief minister who passed away in Bengaluru at the age of 79 on Tuesday was popular among Keralites as the most compassionate and spartan leader in recent times
57,"July 18, 2023, 18:37 IST","Andhra CM Releases Rs 560 cr Under ‘Jagananna Thodu’ Scheme, 5.10 Lakh Small Traders Get Benefit","The CM said petty traders, who have been repaying the loans promptly and taking repeat loans, can get an annual increment of Rs 1000 on the loan amount of Rs 10,000 "
58,"July 18, 2023, 14:56 IST","Opposition Meeting: Kharge Says Cong 'Not Interested' in PM Post, Admits to 'State Level' Differences","At the Bengaluru meeting, Congress president Mallikarjun Kharge is also learnt to have acknowledged differences among the parties in states and set forth four agenda points for the Opposition bloc to discuss, including naming the proposed alliance"
59,"July 18, 2023, 11:21 IST",UP ATS Quizzes Pakistan's Seema Haider; ‘Spy’ Role Not Suspected but ‘Too Early to Predict’: Police Sources,"Seema Haider, 30, was questioned for nearly 8 hours along with her lover, Sachin Meena, 22, and his father in Greater Noida. ATS tried to connect her links with the local people in Pakistan and inquired about her uncle who is in the Pakistan Army
"
60,"July 18, 2023, 09:15 IST",Modi Surname Case: Supreme Court to Hear Rahul Gandhi's Plea Against Gujarat HC Order on Friday,"The Congress leader was disqualified as a Member of Parliament on March 24, 2023 after a Gujarat court convicted him and sentenced him to a two-year imprisonment on charges of criminal defamation for comments he made about the Modi surname."
61,"July 17, 2023, 22:26 IST","NCP Entanglement: MLAs at His feet, Sharad Pawar Tells Them 'Can't Make Ideological Changes'","Inside details of why the same script played out for the second day in Maharashtra, this time with a larger cast"
62,"July 17, 2023, 19:30 IST","Andhra Couple Offers 51-kg Tomatoes to Goddess Nukalamma, Devotees Surprised",The temple authorities said that the tomatoes will be given to devotees as a part of Nitya Annadanam
63,"July 17, 2023, 13:28 IST",BJP's Review Meet After Bengal Panchayat Poll Seeks to Corner TMC on Violence; Shah's Visit to Bolster Efforts,Party sources said all leaders and cadre have been asked to focus on the 2024 Lok Sabha polls now. The BJP has also planned a mega rally on July 19 with people who were forced to flee their house due to poll-related violence
64,"July 17, 2023, 10:57 IST",Sena Vs Sena | Didn't Set Timeline for Speaker ‘Out of Respect’ of Constitutional Authority: Justice Murari,"Supreme Court judge Justice (retd.) Krishna Murari, who was part of the five-judge Constitution Bench in the Shiv Sena case,  said, ""What political decisions have happened post our judgment have nothing to do with the judgment. The judgment is only confined to the question raised"""
65,"July 17, 2023, 10:53 IST","Approach Top Court Instead of Shouting ‘Misuse of CBI, ED for Political Purpose’: Retired SC Judge","Justice Krishna Murari said the Supreme Court judgment is well considered and takes the law into account in the light of the ruling that quashed Centre’s order to grant third extension to ED chief
"
66,"July 17, 2023, 10:44 IST",'State Govts Must Ensure Disaster Management; Project Cheetah on Right Track': Bhupender Yadav,"The environment minister, in an exclusive interview to News18, said it is natural for every re-introduction project to go through ups and downs and mortality of cheetahs is expected due to reasons such as intraspecie fights, diseases, accidents etc"
67,"July 17, 2023, 09:53 IST",Here's Why Ajit and 9 Other Rebel NCP MLAs Made A Surprise Visit to Sharad Pawar,"The meeting sparked speculation in Maharashtra politics, since it occurred just days after Ajit Pawar declared himself the national president of the NCP, instead of Sharad Pawar"
68,"July 17, 2023, 09:41 IST",Courts Can’t Shut Eyes over Practical Aspect of Abrogation of Article 370: Ex-SC Judge,"Justice Krishna Murari, in an interview with News18, said the courts are supposed to test the constitutional validity but they cannot ignore the practical aspects of repealing Article 370 in J&K"
69,"July 17, 2023, 09:18 IST",Uniformity is Good but Uniform Civil Code Needs Large-Scale Consultations: Ex-SC Judge Murari,"With the debate over Uniform Civil Code raging on, the retired judge of the Supreme Court said enforcing UCC may not be good for the country, society or people, but, once there is a general discussion with the public and a majority view comes in only then it should be implemented
"
70,"July 17, 2023, 00:19 IST","Pakistan: Hindu Temple Attacked in Sindh Province; Local Gang Used Rocket Launchers to Fire, Say Police",Police said the small temple belongs to the Bagri community of Sindh province and was to open for an annual religious ceremony
71,"July 16, 2023, 23:26 IST","Nara Lokesh Alleges Fraud in Every Scheme of Jagan Reddy's Govt, Claims TDP Will Return to Power in Andhra",The TDP national general secretary asserted that Jagan Mohan Reddy had deceived almost all sections of society by not fulfilling the promises he had made to them
72,"July 16, 2023, 10:43 IST",Pakistan: Hindu Temple in Karachi Demolished for Shopping Plaza; Community Tense,"A video, accessed by News18, shows the Hindu temple – Mari Mata located at Soldier Bazar in Karachi, razed on Friday night by an unknown builder to make way for a shopping plaza 
"
73,"July 16, 2023, 09:24 IST",Opposition Unity: Is Cong Softening Towards AAP While Ties with TMC Turn Out Knotty After Panchayat Polls?,"The ordinance issue was discussed at length at the Parliament strategy meeting presided by Sonia Gandhi yesterday, but no clear stand was taken. While a few felt that it was important to listen to Punjab and Delhi state units, who were against AAP, others thought ‘Opposition Unity’ was much bigger, therefore, it was alright to compromise for the fight for 2024 polls
"
74,"July 15, 2023, 19:53 IST","Water Entered SC, Could’ve Left Lutyens Delhi Devastated, Haryana to Blame: AAP’s Saurabh Bhardwaj","Delhi minister Saurabh Bharadwaj also demanded action against top bureaucrats for allegedly ignoring emergency calls by him and AAP minister Atishi Singh, over calling in the NDRF and army"
75,"July 15, 2023, 13:57 IST",‘Want Team India to Play Here One Day’: Iran’s Chabahar High on Cricket Hopes,"With the Chabahar area dominated by the pro-India Baloch tribe, interest in cricket is high here. The government of Iran is hoping to woo Indian investors to speed up the cricket stadium project"
76,"July 15, 2023, 13:11 IST",Moon to be India's Pit Stop to Launch New Missions? ISRO's Dr Sankaran on Chandrayaan's Bigger Goal | Exclusive,"In an exclusive interview with News18, the space agency’s UR Rao Satellite Centre director Dr Sankaran said there is interest in finding out the chemical properties of lunar soil to know whether these can be converted into propellants and other materials"
77,"July 15, 2023, 13:10 IST",Why Indian Ambassador to Iran Chose Chabahar as His First Port of Call Since Taking Charge,"The Shahid Beheshti port at Chabahar is India's first overseas port project and has been touted as a possible gateway for India to trade with Europe, Russia and Commonwealth of Independent States"
78,"July 15, 2023, 10:50 IST",Let’s Talk Law | A Case for Uniform Age of Marriage in India in Pursuit of a Uniform Civil Code,"If sex with minor wife is rape, irrespective of her marital status, sex with minor wife should be ‘rape’ irrespective of her religion as well"
79,"July 15, 2023, 07:30 IST",BJP's Plan 'B' for Baramati: How Party Hopes to Bag Supriya Sule's 'Pawar House' Seat in 2024,"While Baramati has always voted for the Pawar family, the BJP here may employ a strategy similar to the one it used to snatch Congress bastion Amethi in Uttar Pradesh in 2019"
80,"July 14, 2023, 21:42 IST",Modi Govt Rakes Up UCC Issue before Polls to Vitiate Atmosphere: Owaisi in Letter to Law Commission,"The Hyderabad MP and AIMIM chief said that 'Islamic law along with Adivasi and Dalit social practises are not uniform and thereby relies on context, cultural practises, and social relations'"
81,"July 14, 2023, 20:16 IST",Chandrayaan-3 Marks India's Ascent into Amrit Kaal; PM Modi Lifted Veil of Secrecy: Jitendra Singh to News18,"The minister of state in charge of the department of space said that the Prime Minister opened up the exercise to wider participation, which has led to synergised working between government and non-government sectors"
82,"July 14, 2023, 12:16 IST",CNN-News18 Town Hall: Delhi Chapter to Address India's Path Ahead of General Elections 2024,The primary focus of the event will be on understanding how political parties plan to captivate the attention of the voters in 2024 Lok Sabha elections
83,"July 14, 2023, 09:38 IST",Chandrayaan-3: All You Need to Know About Its Made-in-Mumbai Vikas Engine,"Around 1,300 km from the Sriharikota space station, the Godrej Aerospace facility in Mumbai will be cheering on one particular component of the lunar mission – the Vikas engine dedicated to the late astronomer and physicist Vikram Sarabhai"
84,"July 14, 2023, 07:30 IST",Chandrayaan-3 Will Firmly Establish India as A Global Player to Reckon With: Jitendra Singh to News18,"The minister of state in charge of the department of space said that the mission set to take off on Friday afternoon, targeting the moon's little-explored south pole, will make India a pioneer and also emphasised that Chandrayaan-2 was not a failure"
85,"July 13, 2023, 21:11 IST",'Great Moment for Us': Bhubaneswar-based Govt Body Manufactured Components of Chandrayaan-3,"Bhubaneswar CTTC has been supplying components to ISRO since 1997. It has built several instruments for Polar Satellites and Geo-satellite, Mangalyaan and Chandrayaan 2"
86,"July 13, 2023, 19:50 IST",AAP Won't Attend Bengaluru Meet Unless Congress Clears Stand on Delhi Ordinance: Jasmine Shah to News18,The Aam Aadmi Party leader also said in the exclusive interview that the Congress had become an obstacle to opposition unity
87,"July 13, 2023, 13:10 IST",‘Make Spreading of Fake News a Criminal Act’: BJP’s Mumbai MP Proposes Pvt Member’s Bill,The Bill proposes a fine up to Rs 10 lakh and imprisonment up to seven years for those found guilty of spreading fake news
88,"July 13, 2023, 12:45 IST",Saudi Arabia Issues Final Warning to Pakistan Airlines Over Non-Payment of Dues,Riyadh Airport Authority has set a deadline of July 15 for PIA to pay the outstanding amount of 8.2 million riyals
89,"July 13, 2023, 11:20 IST","Panchayat Polls Rivalry Threatens to Derail Oppn's Bengaluru Meet as Cong, TMC Trade Blows in Bengal",Sources in TMC say the party is serious about opposition unity at the national level but the high command may raise the issue of enmity with the Congress in the next meeting with the Grand Old Party’s top brass
90,"July 13, 2023, 09:34 IST","Bengal Panchayat Polls Violence: Goons Came in Police Uniform, Say Locals As 3 Killed On Counting Day in Bhangar",Bhangar became the epicenter of political clashes in the run-up to the panchayat polls in West Bengal. At least three people were killed in the block on the last day of filing nominations for the panchayat polls and three others on counting day
91,"July 12, 2023, 23:50 IST","By Imposing 28% GST on Online Gaming, You've Killed The Industry: Ashneer Grover | Exclusive","The entrepreneur, who recently launched the fantasy sports league CrickPe, called the GST Council's move 'extremely unfortunate' in the exclusive conversation with News18, adding that increasing the rate won't result in higher tax collection"
92,"July 12, 2023, 21:44 IST","‘Unique Coexistence’: Muslim World League Chief Hails India’s Message of Harmony, Salutes its Constitution & Democracy",Muslim World League secretary-general Sheikh Mohammed bin Abdulkarim Al-Issa applauded Indian leaders as well as people and said India's wisdom has been instrumental for the progress of humankind
93,"July 12, 2023, 21:35 IST","Parliament's Monsoon Session to See Flood of 32 Bills from Govt, Oppn Storm on Manipur, Wrestlers' Row","Among key legislation listed to be introduced in Parliament are the Digital Personal Data Protection Bill and the Government of National Capital Territory of Delhi (Amendment) Ordinance, 2023. Sources in the government are tight-lipped about the possibility of a UCC Bill"
94,"July 12, 2023, 21:26 IST","More Money for Drivers, Less Cost for Passengers: ‘Namma Yatri’ on ONDC Top Gear in Bengaluru","The app is developed by the Auto Drivers’ Union and is hosted on the ONDC. Presently, over 10 lakh people are using the app, and more than 65,000 drivers have registered, benefiting from the commission-free model"
95,"July 12, 2023, 20:51 IST",Ajit Pawar in Delhi to Meet Amit Shah to Get His Maha ‘Berth’ Right; Cabinet Expansion to be delayed,"According to sources, Ajit Pawar, who was recently inducted as Maharashtra's deputy CM, was promised the finance portfolio. The CM Eknath Shinde-led Shiv Sena group was under the impression that only the BJP’s portfolios will be given to NCP"
96,"July 12, 2023, 18:29 IST","'Ghutnatek CM': Bihar's Monsoon Session Adjourned Amid Ruckus, BJP to March to Vidhan Sabha Tomorrow","After Bihar deputy CM Tejashwi Yadav was chargesheeted in the land for jobs scam, BJP MLAs created a ruckus demanding his resignation due to which the monsoon session was adjourned for third day"
97,"July 12, 2023, 16:15 IST","Rising Crimes Against Minorities in Pakistan: Boy Killed, 3 Girls Abducted and Converted",Three girls were forcibly abducted and forcibly converted and one boy was murdered but police chose to side with the perpetrators.
98,"July 12, 2023, 13:38 IST",Kerala: Special NIA Court Convicts 6 Accused in 2010 Prof TJ Joseph Hand Chopping Case,"Special NIA court judge Anil K Bhaskar found them guilty of attempted murder, conspiracy and various other offences under the Indian Penal Code (IPC) in the second phase of the trial in the case"
99,"July 11, 2023, 18:33 IST",All Quiet on the 'West Bengal' Front: The Congress's Dilemma over Panchayat Poll Violence,"As the Opposition unity is the focus ahead of the 2024 Lok Sabha elections, the Congress is not keen to ruffle the TMC’s feathers on the WB panchayat poll violence. Meanwhile, the BJP has accused the Congress and Left of being the 'B-team of the TMC' "
100,"July 11, 2023, 17:02 IST",How Assam Delimitation Draft by Election Commission of India Has Set Off A Game of Musical Chairs,"While there have been protests and an outcry from the opposition, even several leaders from BJP ally AGP are unhappy at the prospect of losing their seats"
